source_url,target_url,source_title,target_title,reason,batch,score,title_token_coverage
https://bitcoininfonews.com/vaneck-bitcoin-long-term-holder-selling-slowdown-signals-constructive-trend/,https://bitcoininfonews.com/vaneck-bitcoin-long-term-holder-selling-constructive-trend-gemini-lawsuit/,,,Promoted from manual review: full title-token match with current winner.,batch_1_internal_link_cleanup_and_404_mapping,0.757,1.000
https://bitcoininfonews.com/vaneck-bitcoin-long-term-holder-selling-slowdown/,https://bitcoininfonews.com/vaneck-bitcoin-long-term-holder-selling-constructive-trend-gemini-lawsuit/,,,Promoted from manual review: full title-token match with current winner.,batch_1_internal_link_cleanup_and_404_mapping,0.734,1.000
https://bitcoininfonews.com/warsh-crypto-holdings-revealed-fed-disclosure/,https://bitcoininfonews.com/warsh-crypto-holdings-fed-disclosure-2/,,,Promoted from manual review: full title-token match with current winner.,batch_1_internal_link_cleanup_and_404_mapping,0.804,1.000
https://bitcoininfonews.com/warsh-crypto-holdings-revealed-in-fed-disclosure/,https://bitcoininfonews.com/warsh-crypto-holdings-fed-disclosure-2/,,,Promoted from manual review: full title-token match with current winner.,batch_1_internal_link_cleanup_and_404_mapping,0.798,1.000
https://bitcoininfonews.com/when-will-bitcoin-price-bottom-out-benjamin-cowen-predicts-october-2026/,https://bitcoininfonews.com/when-will-bitcoin-price-bottom-out-benjamin-cowen-predicts/,,,Promoted from manual review: full title-token match with current winner.,batch_1_internal_link_cleanup_and_404_mapping,0.820,1.000
https://bitcoininfonews.com/white-house-signals-breakthrough-on-clarity-act-as-stablecoin-rules-near/,https://bitcoininfonews.com/white-house-signals-breakthrough-clarity-act-federal-stablecoin-floor/,,,Promoted from manual review: full title-token match with current winner.,batch_1_internal_link_cleanup_and_404_mapping,0.747,1.000
https://bitcoininfonews.com/why-are-bitcoin-ethereum-and-xrp-prices-surging-today-market-drivers-explained/,https://bitcoininfonews.com/why-are-bitcoin-ethereum-and-xrp-prices-surging-today/,,,Promoted from manual review: full title-token match with current winner.,batch_1_internal_link_cleanup_and_404_mapping,0.744,1.000
https://bitcoininfonews.com/why-bitcoin-outperforming-gold-pompliano/,https://bitcoininfonews.com/bitcoin-outperforming-gold-pompliano-geopolitics/,,,Promoted from manual review: full title-token match with current winner.,batch_1_internal_link_cleanup_and_404_mapping,0.764,1.000
https://bitcoininfonews.com/will-bitcoin-skyrocket-when-iran-war-ends-key-signals/,https://bitcoininfonews.com/will-bitcoin-skyrocket-when-iran-war-ends/,,,Promoted from manual review: full title-token match with current winner.,batch_1_internal_link_cleanup_and_404_mapping,0.797,1.000
https://bitcoininfonews.com/xrp-beats-bitcoin-and-ethereum-in-south-korea-as-volume-spikes-115/,https://bitcoininfonews.com/xrp-beats-bitcoin-ethereum-south-korea-volume-spike/,,,Promoted from manual review: full title-token match with current winner.,batch_1_internal_link_cleanup_and_404_mapping,0.773,1.000
https://bitcoininfonews.com/xrp-etf-inflows-hit-1-4-billion-despite-crypto-market-downturn/,https://bitcoininfonews.com/xrp-etf-inflows-1-4-billion-market-downturn/,,,Promoted from manual review: full title-token match with current winner.,batch_1_internal_link_cleanup_and_404_mapping,0.746,1.000
https://bitcoininfonews.com/xrp-leads-institutional-crypto-inflows-surpassing-btc-and-eth/,https://bitcoininfonews.com/xrp-leads-crypto-institutional-revival-weekly-inflows-top-btc-eth/,,,Promoted from manual review: full title-token match with current winner.,batch_1_internal_link_cleanup_and_404_mapping,0.768,1.000
https://bitcoininfonews.com/xrp-ledger-active-addresses-drop-41-santiment-says/,https://bitcoininfonews.com/xrp-ledger-active-addresses-down-41-santiment/,,,Promoted from manual review: full title-token match with current winner.,batch_1_internal_link_cleanup_and_404_mapping,0.756,1.000
https://bitcoininfonews.com/xrp-open-interest-traders-sec-etf/,https://bitcoininfonews.com/xrp-open-interest-derivatives-sec-etf-verdict/,,,Promoted from manual review: full title-token match with current winner.,batch_1_internal_link_cleanup_and_404_mapping,0.758,1.000
https://bitcoininfonews.com/youtube-bans-bitcoin-com-after-strike-crypto-content-crackdown/,https://bitcoininfonews.com/youtube-bans-bitcoin-com-latest-strike-in-war-on-crypto-content/,,,Promoted from manual review: full title-token match with current winner.,batch_1_internal_link_cleanup_and_404_mapping,0.740,1.000
https://bitcoininfonews.com/zachxbt-slams-circle-over-stolen-usdc-after-drift-hack/,https://bitcoininfonews.com/zachxbt-slams-circle-stolen-usdc-flow-drift-hack/,,,Promoted from manual review: full title-token match with current winner.,batch_1_internal_link_cleanup_and_404_mapping,0.775,1.000
